tag_name_verbose,addresses,tag_type_verbose,tag_subtype_verbose
Kraken.com,1ztcRm9Wvf38Witw3qZ58TwBfLQ4onxqP4iP2juDTBqEBb7,Exchange,Mandatory KYC and AML
ChangeNow.io,1ztc1a2dqXaYpaTvdVDza6c4obt6GzgHwCMWJeQni1nC7ge,Exchange,OTC
Bitrue,1ztaikFSFAxXMbknenvED7TNqifJD1MRRkcyxa9TFzRzw6X,Exchange,Optional KYC and AML
ChangeNow.io,1ztaQfYyX2dSSqfDKethHj34sLo1APPzhyW3EKHzzQZUCc8,Exchange,OTC
Kraken.com,1ztZabduzaA9Q188VKFwdrwTKqGLxutm8BkXgcapQnaSH7L,Exchange,Mandatory KYC and AML
Kraken.com,1ztYxhMzp6cVQjbLCGU9mEmmxrdQ2Ns8AtFvHM3JXAHCo8Y,Exchange,Mandatory KYC and AML
Kraken.com,1ztY1bi1LRFy3AzS7iB5tvoSwGVfj5TzZScRjspgjYZBQVc,Exchange,Mandatory KYC and AML
Kucoin.com,1ztV9f3YbTKvYTxCjTTRZAHUBA8iFpaFqy98D7SdymZHDDa,Exchange,Mandatory KYC and AML
Kraken.com,1ztTuBwogYXwbVCZQadfactbjNDkgDQqXvrC9BcQMSPcBcA,Exchange,Mandatory KYC and AML
Kucoin.com,1ztTLT73F7vA1KJkJSgutGWU6hVD8sSHqGmd8U6qgatD2dj,Exchange,Mandatory KYC and AML
Bybit.com,1ztRRjZkf6ujZfyvMpmTjMyoct21nBDt7z9sVJWLPMc14gW,Exchange,Mandatory KYC and AML
Kraken.com,1ztQHbMw1Waam8xNAUx7hcqfcypL3R7T1TFLVGhzjpkU4L2,Exchange,Mandatory KYC and AML
Kraken.com,1ztNZbYv7oEV8BqBS4MAcysWfV6p4kMijuuWebTDAbgehN6,Exchange,Mandatory KYC and AML
Kraken.com,1ztKPP3LdYcXy6wJv2u96dm2uCnQzUarzFxUq1gxRKHCA8v,Exchange,Mandatory KYC and AML
Kraken.com,1ztHjNqwpFz4kjN6Cvm8e1gMJNDXncTj7nDVpiRgkrADEiG,Exchange,Mandatory KYC and AML
Gate.io,1ztFLNokDf84vc7TemoDBN28iZF1DGTagVrh8oUWsuwaU1g,Exchange,Mandatory KYC and AML
Kraken.com,1ztERfBwtsf5rcwhjb9CTYsuq9PY8BZoducCjevseDbtLLA,Exchange,Mandatory KYC and AML
ChangeNow.io,1ztDXAPCz9yJkcc5aYEYQxA3qcgAwy5jdsnPBRNzZCDaAeu,Exchange,OTC
Kraken.com,1ztDHRfo3bgTCcbCHGzatuAZZmBakQXyxYvniVQY3Ahfe2j,Exchange,Mandatory KYC and AML
ChangeNow.io,1ztC7HnXMoMDgnhhJtfY2HMRvzXFzgdq92sxVC1n3uKcHfm,Exchange,OTC
Kraken.com,1ztBjcpXVu2MRpRSqmWW5u1scdo3XKs4c9qwiHYqXYY1wv9,Exchange,Mandatory KYC and AML
Okx.com,1ztAvFxHCRAwp1zi4uv6nhkTmDQ7KJj75anr2qYJmX6w5Qn,Exchange,Mandatory KYC and AML
Kraken.com,1zt9dsP6xgszsM41oovCQdVRN4GdDgg7J1sF24LHB9y1u55,Exchange,Mandatory KYC and AML
Nexo.io,1zt6jY81ePWtG3akVEVY4CdvzspqB4xdaFifCK8YhZZu7Zh,Exchange,Mandatory KYC and AML
Kraken.com,1zt6ZNiSGiX9U3SNdbTdCHGTe3Nq27bgDMJteccL2sbxuuH,Exchange,Mandatory KYC and AML
Binance.com,1zt6JRHKmuor2ibJBU4KZxqx5NTPFu2rG5gg8mwLWJrQnYU,Exchange,Mandatory KYC and AML
Kraken.com,1zt6BMhDgioULedM9nk6dadnkXYPyRAnrSVR4LD3ddUdgNB,Exchange,Mandatory KYC and AML
ChangeNow.io,1zt4cgrqJ6GWaas4d6j6vEidxHLkpTP9jZeZCkVCfWFYdew,Exchange,OTC
Kraken.com,1zt2YYPL7iM4wquM8Bc28mCZXGzZSnWVMa5DKgpcQvpxXCu,Exchange,Mandatory KYC and AML
Kraken.com,1zt1xirR7cvEDeUUftfPViATELazrk8UWaKb8bE9yShgWB1,Exchange,Mandatory KYC and AML
Kraken.com,1zsz9eshgZE4pzJSHxaXjNi3oLkDEsoz1STnBhJfyZT1uDn,Exchange,Mandatory KYC and AML
Kraken.com,1zsvKF8JhxNkkFAjDFpdAAushJ2yxft4yKqUh8WbyreoqtP,Exchange,Mandatory KYC and AML
Kucoin.com,1zstfcyRf6fqBSftPGT4Yp9nktGo39zgW8HAB2ijfk7cpba,Exchange,Mandatory KYC and AML
Kraken.com,1zst57tGS4sxY2D1s9TNsFB1GrbmdFcfv9Jy78oZGyhCQxE,Exchange,Mandatory KYC and AML
Kraken.com,1zssyJKjhwAjczmpAaHMGg35282q26oP7mVCUBajSvw3oGy,Exchange,Mandatory KYC and AML
Binance.com,1zssRrtdXFpXMM4FhsXuwG53HhmBgAxTtFi62hWaVhLBpNv,Exchange,Mandatory KYC and AML
Binance.com,1zssPhLBXfDihT33raKMsCSJEuGQVvBVp94FpqPH1wXRJsM,Exchange,Mandatory KYC and AML
Kraken.com,1zsr6Gm2uLvaMm5noAFUc8XtyZrLJAxPpv7MpuwWXc3L7YB,Exchange,Mandatory KYC and AML
MEXC Global,1zspfpnHAreoauB1ffTnnNwysy9Dox1ipeqd2acBxzGChDa,Exchange,Optional KYC and AML
Kraken.com,1zsngr4z2uUPeodRcxP3BPNZz6YzQBq8ygF5KjZ86bTpMkP,Exchange,Mandatory KYC and AML
Kucoin.com,1zsiTsn3qZparsC4pnZfaE9mU2dvixKVNTVQ1ps26foHZVR,Exchange,Mandatory KYC and AML
Bybit.com,1zsfMVQDb9v2QxF7yCkKqEycfNcuPkiaqAJBSJWrWtC5XTV,Exchange,Mandatory KYC and AML
Bybit.com,1zseak2v5DQCSJT3s8xS5jdvN6iLdkjWAgzUsbVZC8qeXVR,Exchange,Mandatory KYC and AML
Phemex,1zseUraqMN26cqoiLWKRHCePbgUMimbbBRRxnrgYiWJ3XKr,Exchange,Optional KYC and AML
Kucoin.com,1zscGc9Cp1HZkRggdhj8aaGYDr3gWBmH8PpZAgqS6BZhYcg,Exchange,Mandatory KYC and AML
Kraken.com,1zsbvcJ7K95XXrKhkxK4QbkHa9SnkwM4HwmD7zaykEqk17V,Exchange,Mandatory KYC and AML
Kraken.com,1zsbknn7WA3QnJnedYKaLtaNiqxeQ8srkJeoPnoJ3cLX4Sv,Exchange,Mandatory KYC and AML
Kucoin.com,1zsbiANB2uRkQWmFF1N2L7cvHwZbtgbPbYsDL39kEJzgeuF,Exchange,Mandatory KYC and AML
MEXC Global,1zsaf8H98ueqhEdCZHikmBc41g26vnaEDdkJ7ohNz4yPhWW,Exchange,Optional KYC and AML
Coinbase.com,1zsabkYibDeTfPnroeT83sGziawUawxzTrc9q8ytzRv51bJ,Exchange,Mandatory KYC and AML
Kraken.com,1zsaXGfgLXpeskNLSTLAg4YU16QpKNFF5hij6TGVcpCfJLM,Exchange,Mandatory KYC and AML
Okx.com,1zsZGK4JoMGJsx7fhUzPQoXqsVf1dabUjR4K4epzaPCEVdD,Exchange,Mandatory KYC and AML
Kraken.com,1zsZFbm5NqW46aEydn5X5D9Fn7vxWQ3nDD5CLTTPgbEzyhy,Exchange,Mandatory KYC and AML
FTX.COM,1zsYwhiVbbGt6DYJqihsamedoBZa7RAEt8GbrDzVDeaj8nK,Exchange,Inactive
Kraken.com,1zsXJaQhjKK3xwGmpKnCWeZ1SshYpS9cYr9ZY2BiVjczhfc,Exchange,Mandatory KYC and AML
Kraken.com,1zsWQ7iJLzW9ojXdbDK4KwFqLizUvhWqDd7WBFqVH79SwHe,Exchange,Mandatory KYC and AML
Bittrex,1zsVNfXZgxf2oErkAB3mtxqtafC5cvydDK1rAL5wm6zVYgx,Exchange,Mandatory KYC and AML
Kraken.com,1zsUmj9EyprjATYr6Ru6ZUkx8QeSYU1Exk7vhdvSWXjejap,Exchange,Mandatory KYC and AML
Gate.io,1zsT3YDGJZ7NtHef2WUSQj3tKxp9Pk6GGBGKVbfXMRkH3Ms,Exchange,Mandatory KYC and AML
Bybit.com,1zsSrAYTqsJgcN4ppfALFa6gz5a2n4kz2LS4neowPtDiYFw,Exchange,Mandatory KYC and AML
Kraken.com,1zsN1ieTr4uLzG6fbt5xnuM4ZwGNiu686ni2JrRropTe4Ba,Exchange,Mandatory KYC and AML
FTX.COM,1zsMtDoepY6NjXmgCvYHLzeuuhGhdBZCKYKdKCe2UtSJRFm,Exchange,Inactive
Bitfinex.com,1zsM6VEixymifMyM2swHga51NQg1rYBGdy8WYJLd4cy8KdW,Exchange,Mandatory KYC and AML
Kraken.com,1zsJ2VmJm7CmonhHg835YJ8gxrQWXDcKNVuLgxLz28GMFna,Exchange,Mandatory KYC and AML
Okx.com,1zsHWCQUbcpKRuHq1qFnkxKi1zeYNxhgd5YcZ5yXmHfAH5i,Exchange,Mandatory KYC and AML
Kraken.com,1zsFKHfKD7EfBfnymtKMg4u6bJjtkH4kYWe4sPXrmAD96q7,Exchange,Mandatory KYC and AML
CEX.IO,1zsDmFWshZE6nBAYnxo2TwbYcz5ebSsgAT9Y4w1Jbw712h5,Exchange,Mandatory KYC and AML
Phemex,1zsCHnMsT45CftF522z9Kzx8zx65tCqzzsDhdk9Td11wLVG,Exchange,Optional KYC and AML
Bitget.com,1zs9afeHic2tLWCuGqBkytmNdnPLF13rBm2wGqrttfJUs1o,Exchange,Optional KYC and AML
Kraken.com,1zs9KSbKw3btYcsGtkd9wNcubfAPF2KbiWTJCE9kxPPpSRV,Exchange,Mandatory KYC and AML
Okx.com,1zs8rsFdB75VwarDLkAxDh6AJJcLH7ioRgB6SbW2YySM4bg,Exchange,Mandatory KYC and AML
CoinEx,1zs7pAPztXHBk5zCJVvidC3pNewUo1EnFVZuZ8wJ6gp4t7u,Exchange,Mandatory KYC and AML
HitBTC,1zs7kPrUxGM1ut6RiVgxT8bCHwaKQovtXcs6J5RRB7aRoy8,Exchange,Optional KYC and AML
Kraken.com,1zs5sx7Q6pBVZj8YUna4xgBHhHQ3wQw7f4RbHxcbBLHmzb5,Exchange,Mandatory KYC and AML
Kraken.com,1zs4xwnC7mhcGUANzqq4Wmmig6DjQKDk9qL7omNuvdrW5dW,Exchange,Mandatory KYC and AML
MEXC Global,1zs4WLeAkA3jQsoawM4ZFSKBLGhrQYrCkmPYmAh9LV6CNbn,Exchange,Optional KYC and AML
Kraken.com,1zs4DRZxd824NUMGzaoaY9qY4Jc76NATxz5WTZJJjf3ownm,Exchange,Mandatory KYC and AML
Okx.com,1zs1CVimS54o3EzGJL22F7PoCxX3FjUts9cFU3JAVv46nwZ,Exchange,Mandatory KYC and AML
Kraken.com,1zrzWjNmDqaSuS44enB5FKewfvVkmPPt8KdtbJYy3euKUDd,Exchange,Mandatory KYC and AML
Kraken.com,1zrzPfuXrLzoKHiixtA3mcBsHutq21UcnLWXLu9zEZfhQpp,Exchange,Mandatory KYC and AML
Kraken.com,1zrySx9s2Ach8Jh86a6A2juYUQv6VN79B2DaPFig3QEmj6J,Exchange,Mandatory KYC and AML
